,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,성조기 코튼 니트 네이비,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
1,성조기 코튼 니트 네이비,남자,170cm,66kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
2,성조기 코튼 니트 네이비,남자,166cm,61kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
3,성조기 코튼 니트 네이비,여자,164cm,55kg,큼,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
4,성조기 코튼 니트 네이비,여자,160cm,55kg,큼,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
5,성조기 코튼 니트 네이비,여자,158cm,48kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
6,성조기 코튼 니트 네이비,남자,178cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
7,성조기 코튼 니트 네이비,여자,160cm,46kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
8,성조기 코튼 니트 네이비,남자,163cm,73kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
9,성조기 코튼 니트 네이비,남자,178cm,69kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
10,성조기 코튼 니트 네이비,여자,156cm,46kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
11,성조기 코튼 니트 네이비,남자,182cm,81kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
12,성조기 코튼 니트 네이비,여자,168cm,51kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
13,성조기 코튼 니트 네이비,남자,175cm,72kg,큼,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
14,성조기 코튼 니트 네이비,남자,176cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
15,성조기 코튼 니트 네이비,남자,176cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
16,성조기 코튼 니트 네이비,여자,164cm,50kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
17,성조기 코튼 니트 네이비,남자,175cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
18,성조기 코튼 니트 네이비,남자,171cm,67kg,큼,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
19,성조기 코튼 니트 네이비,남자,186cm,70kg,큼,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
20,성조기 코튼 니트 네이비,남자,175cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
21,성조기 코튼 니트 네이비,여자,172cm,62kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
22,성조기 코튼 니트 네이비,남자,180cm,76kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
23,성조기 코튼 니트 네이비,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
24,성조기 코튼 니트 네이비,남자,182cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
25,성조기 코튼 니트 네이비,여자,164cm,56kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
26,성조기 코튼 니트 네이비,남자,174cm,72kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
27,성조기 코튼 니트 네이비,여자,164cm,60kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
28,성조기 코튼 니트 네이비,남자,172cm,66kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
29,성조기 코튼 니트 네이비,남자,175cm,63kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
30,성조기 코튼 니트 네이비,여자,157cm,61kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
