,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,176cm,66kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
1,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
2,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,160cm,55kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
3,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,182cm,82kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
4,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
5,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,162cm,43kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
6,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,165cm,60kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
7,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,68kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
8,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,77kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
9,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,185cm,79kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
10,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,66kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
11,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,185cm,79kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
12,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,180cm,64kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
13,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,68kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
14,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
15,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,171cm,68kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
16,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,78kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
17,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,186cm,90kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
18,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,80kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
19,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,170cm,73kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
20,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,171cm,65kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
21,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,165cm,65kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
22,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,177cm,85kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
23,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,186cm,95kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
24,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,181cm,89kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
25,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,170cm,68kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
26,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,76kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
27,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,185cm,100kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
28,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,185cm,100kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
29,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,172cm,63kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
30,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
31,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,187cm,90kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
32,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,165cm,48kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,S
33,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,182cm,78kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
34,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
35,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,80kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
36,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,166cm,60kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
37,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),여자,161cm,67kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
38,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,170cm,69kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
39,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,73kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
40,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,178cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,L
41,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,174cm,73kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
42,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,172cm,70kg,큼,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
43,벌룬 퍼티그 밴딩 와이드 데님 팬츠 (RAW INDIGO),남자,175cm,60kg,적당함,//image.msscdn.net/images/goods_img/20220907/2776429/2776429_2_500.jpg,M
