,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,덕다운 아르틱 후드 패딩_Black,여자,170cm,62kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
1,덕다운 아르틱 후드 패딩_Black,남자,170cm,68kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
2,덕다운 아르틱 후드 패딩_Black,여자,163cm,55kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
3,덕다운 아르틱 후드 패딩_Black,남자,178cm,55kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
4,덕다운 아르틱 후드 패딩_Black,남자,165cm,66kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
5,덕다운 아르틱 후드 패딩_Black,남자,175cm,65kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
6,덕다운 아르틱 후드 패딩_Black,남자,175cm,80kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
7,덕다운 아르틱 후드 패딩_Black,남자,175cm,77kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
8,덕다운 아르틱 후드 패딩_Black,여자,165cm,45kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,S
9,덕다운 아르틱 후드 패딩_Black,남자,178cm,70kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
10,덕다운 아르틱 후드 패딩_Black,여자,163cm,56kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
11,덕다운 아르틱 후드 패딩_Black,여자,164cm,50kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
12,덕다운 아르틱 후드 패딩_Black,여자,169cm,55kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
13,덕다운 아르틱 후드 패딩_Black,여자,164cm,54kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,S
14,덕다운 아르틱 후드 패딩_Black,남자,180cm,75kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
15,덕다운 아르틱 후드 패딩_Black,남자,174cm,72kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
16,덕다운 아르틱 후드 패딩_Black,남자,170cm,64kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
17,덕다운 아르틱 후드 패딩_Black,남자,172cm,63kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
18,덕다운 아르틱 후드 패딩_Black,남자,167cm,66kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
19,덕다운 아르틱 후드 패딩_Black,남자,180cm,80kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
20,덕다운 아르틱 후드 패딩_Black,남자,176cm,90kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
21,덕다운 아르틱 후드 패딩_Black,남자,172cm,55kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
22,덕다운 아르틱 후드 패딩_Black,여자,165cm,66kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,S
23,덕다운 아르틱 후드 패딩_Black,남자,172cm,80kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
24,덕다운 아르틱 후드 패딩_Black,여자,160cm,60kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
25,덕다운 아르틱 후드 패딩_Black,여자,158cm,48kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
26,덕다운 아르틱 후드 패딩_Black,남자,179cm,76kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
27,덕다운 아르틱 후드 패딩_Black,남자,174cm,67kg,작음,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
28,덕다운 아르틱 후드 패딩_Black,여자,169cm,55kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,S
29,덕다운 아르틱 후드 패딩_Black,남자,175cm,82kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
30,덕다운 아르틱 후드 패딩_Black,남자,184cm,76kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
31,덕다운 아르틱 후드 패딩_Black,남자,174cm,68kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
32,덕다운 아르틱 후드 패딩_Black,남자,179cm,86kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
33,덕다운 아르틱 후드 패딩_Black,남자,177cm,65kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
34,덕다운 아르틱 후드 패딩_Black,남자,173cm,74kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,L
35,덕다운 아르틱 후드 패딩_Black,여자,160cm,58kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,S
36,덕다운 아르틱 후드 패딩_Black,남자,165cm,70kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,S
37,덕다운 아르틱 후드 패딩_Black,남자,172cm,55kg,큼,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
38,덕다운 아르틱 후드 패딩_Black,여자,170cm,58kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
39,덕다운 아르틱 후드 패딩_Black,남자,171cm,64kg,적당함,//image.msscdn.net/images/goods_img/20221019/2877785/2877785_1_500.jpg,M
