,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,보아 집업 자켓 아이보리,남자,165cm,75kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
1,보아 집업 자켓 아이보리,남자,178cm,73kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
2,보아 집업 자켓 아이보리,남자,175cm,59kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
3,보아 집업 자켓 아이보리,남자,167cm,52kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
4,보아 집업 자켓 아이보리,여자,165cm,50kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
5,보아 집업 자켓 아이보리,남자,174cm,51kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
6,보아 집업 자켓 아이보리,여자,160cm,68kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
7,보아 집업 자켓 아이보리,남자,182cm,60kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
8,보아 집업 자켓 아이보리,남자,180cm,83kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
9,보아 집업 자켓 아이보리,남자,170cm,68kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
10,보아 집업 자켓 아이보리,남자,188cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
11,보아 집업 자켓 아이보리,남자,170cm,65kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
12,보아 집업 자켓 아이보리,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
13,보아 집업 자켓 아이보리,여자,168cm,54kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
14,보아 집업 자켓 아이보리,남자,179cm,106kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
15,보아 집업 자켓 아이보리,남자,185cm,82kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
16,보아 집업 자켓 아이보리,여자,163cm,58kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
17,보아 집업 자켓 아이보리,남자,178cm,69kg,작음,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
18,보아 집업 자켓 아이보리,여자,166cm,66kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
19,보아 집업 자켓 아이보리,남자,188cm,67kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
20,보아 집업 자켓 아이보리,남자,185cm,75kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
21,보아 집업 자켓 아이보리,남자,160cm,48kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
22,보아 집업 자켓 아이보리,여자,163cm,54kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
23,보아 집업 자켓 아이보리,남자,167cm,58kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
24,보아 집업 자켓 아이보리,남자,178cm,68kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
25,보아 집업 자켓 아이보리,남자,180cm,72kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
26,보아 집업 자켓 아이보리,남자,180cm,67kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
27,보아 집업 자켓 아이보리,여자,160cm,57kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
28,보아 집업 자켓 아이보리,남자,171cm,61kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
