,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,2WAY 스냅 블루종_아이보리,남자,170cm,77kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
1,2WAY 스냅 블루종_아이보리,남자,175cm,55kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
2,2WAY 스냅 블루종_아이보리,남자,174cm,68kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
3,2WAY 스냅 블루종_아이보리,남자,173cm,61kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
4,2WAY 스냅 블루종_아이보리,남자,179cm,80kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
5,2WAY 스냅 블루종_아이보리,남자,174cm,68kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
6,2WAY 스냅 블루종_아이보리,남자,170cm,54kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
7,2WAY 스냅 블루종_아이보리,여자,155cm,56kg,큼,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
8,2WAY 스냅 블루종_아이보리,남자,170cm,68kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
9,2WAY 스냅 블루종_아이보리,남자,179cm,67kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
10,2WAY 스냅 블루종_아이보리,남자,174cm,69kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
11,2WAY 스냅 블루종_아이보리,남자,186cm,79kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
12,2WAY 스냅 블루종_아이보리,남자,166cm,60kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
13,2WAY 스냅 블루종_아이보리,남자,173cm,65kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
14,2WAY 스냅 블루종_아이보리,남자,173cm,80kg,큼,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
15,2WAY 스냅 블루종_아이보리,남자,168cm,63kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
16,2WAY 스냅 블루종_아이보리,남자,172cm,69kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
17,2WAY 스냅 블루종_아이보리,남자,172cm,70kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
18,2WAY 스냅 블루종_아이보리,남자,170cm,50kg,큼,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,S
19,2WAY 스냅 블루종_아이보리,남자,176cm,75kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
20,2WAY 스냅 블루종_아이보리,남자,178cm,76kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
21,2WAY 스냅 블루종_아이보리,남자,165cm,70kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,M
22,2WAY 스냅 블루종_아이보리,남자,180cm,64kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
23,2WAY 스냅 블루종_아이보리,남자,180cm,78kg,적당함,//image.msscdn.net/images/goods_img/20210308/1833230/1833230_1_500.jpg,L
