,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,189cm,84kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
1,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,65kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
2,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,182cm,92kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
3,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,177cm,82kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
4,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,71kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
5,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,174cm,64kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
6,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,168cm,65kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
7,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,161cm,51kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
8,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,177cm,58kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
9,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,50kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
10,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,179cm,75kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
11,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,172cm,68kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
12,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,172cm,72kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
13,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,183cm,80kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
