,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,피쉬테일 더플 코트_네이비,남자,176cm,76kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
1,피쉬테일 더플 코트_네이비,남자,172cm,76kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
2,피쉬테일 더플 코트_네이비,남자,174cm,88kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
3,피쉬테일 더플 코트_네이비,남자,175cm,100kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
4,피쉬테일 더플 코트_네이비,여자,163cm,53kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
5,피쉬테일 더플 코트_네이비,남자,167cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
6,피쉬테일 더플 코트_네이비,남자,172cm,76kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
7,피쉬테일 더플 코트_네이비,남자,166cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
8,피쉬테일 더플 코트_네이비,여자,162cm,64kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
9,피쉬테일 더플 코트_네이비,남자,174cm,71kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
10,피쉬테일 더플 코트_네이비,여자,166cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
11,피쉬테일 더플 코트_네이비,남자,184cm,79kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
12,피쉬테일 더플 코트_네이비,여자,159cm,58kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
13,피쉬테일 더플 코트_네이비,여자,162cm,51kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
14,피쉬테일 더플 코트_네이비,남자,172cm,65kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
15,피쉬테일 더플 코트_네이비,남자,168cm,58kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
16,피쉬테일 더플 코트_네이비,여자,161cm,66kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
17,피쉬테일 더플 코트_네이비,여자,168cm,58kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
18,피쉬테일 더플 코트_네이비,남자,180cm,87kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
19,피쉬테일 더플 코트_네이비,여자,164cm,56kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
20,피쉬테일 더플 코트_네이비,여자,162cm,50kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
21,피쉬테일 더플 코트_네이비,남자,171cm,73kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
22,피쉬테일 더플 코트_네이비,남자,182cm,93kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
23,피쉬테일 더플 코트_네이비,남자,175cm,65kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
24,피쉬테일 더플 코트_네이비,남자,183cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
25,피쉬테일 더플 코트_네이비,여자,165cm,63kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
26,피쉬테일 더플 코트_네이비,남자,172cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
27,피쉬테일 더플 코트_네이비,여자,162cm,80kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
28,피쉬테일 더플 코트_네이비,여자,160cm,50kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
29,피쉬테일 더플 코트_네이비,남자,180cm,75kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
30,피쉬테일 더플 코트_네이비,여자,158cm,49kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
31,피쉬테일 더플 코트_네이비,여자,170cm,65kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
32,피쉬테일 더플 코트_네이비,여자,176cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
33,피쉬테일 더플 코트_네이비,남자,168cm,64kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,S
34,피쉬테일 더플 코트_네이비,남자,170cm,67kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
35,피쉬테일 더플 코트_네이비,여자,168cm,60kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
36,피쉬테일 더플 코트_네이비,남자,175cm,74kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
37,피쉬테일 더플 코트_네이비,여자,158cm,53kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
38,피쉬테일 더플 코트_네이비,남자,182cm,92kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
39,피쉬테일 더플 코트_네이비,여자,171cm,54kg,적당함,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
40,피쉬테일 더플 코트_네이비,남자,175cm,73kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,L
41,피쉬테일 더플 코트_네이비,여자,167cm,51kg,큼,//image.msscdn.net/images/goods_img/20220103/2289397/2289397_4_500.jpg,M
