,temp,c_number,c_name,gender,height(cm),weight(kg),fit,link,size,c_result
0,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,174cm,66kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
1,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,175cm,90kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XXL,XXL0
2,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,180cm,75kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
3,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,170cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
4,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,180cm,83kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
5,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,178cm,72kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
6,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,170cm,74kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
7,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,170cm,76kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
8,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,178cm,72kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
9,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,170cm,72kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
10,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,183cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
11,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,174cm,62kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
12,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
13,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,165cm,64kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
14,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,175cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XXL,XXL0
15,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,180cm,75kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
16,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,178cm,66kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
17,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,185cm,85kg,큼,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XXL,XXL0
18,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,172cm,69kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
19,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,183cm,82kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
20,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,183cm,99kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XXL,XXL0
21,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,176cm,67kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
22,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,180cm,75kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
23,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,170cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
24,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,180cm,85kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
25,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,168cm,65kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
26,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,185cm,72kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
27,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,181cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
28,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,165cm,65kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
29,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,190cm,73kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
30,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,171cm,63kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
31,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,171cm,63kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
32,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,177cm,78kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
33,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,175cm,65kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
34,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,172cm,64kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
35,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,179cm,80kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,L,L0
36,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,175cm,82kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,XL,XL0
37,28,0,[패키지] 오버핏 쿨 마이크로아이스 슬리브리스 2P SET 6COLOR,남자,168cm,61kg,적당함,//image.msscdn.net/images/goods_img/20200528/1466673/1466673_16892982420866_500.jpg,M,M0
