temp,c_number,c_name,gender,height(cm),weight(kg),fit,link,size,c_result
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,173,65,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,M,M0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,184,80,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,172,63,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,182,78,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,173,71,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,M,M0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,168,75,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,182,78,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,179,73,큼,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,174,58,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,173,72,큼,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,169,52,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,M,M0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,181,94,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,182,75,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,175,68,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,M,M0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,177,75,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,170,59,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,170,65,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,169,60,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,175,80,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,170,73,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,180,65,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,170,78,큼,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,175,69,큼,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,168,70,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,172,63,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,M,M0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,174,68,큼,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],여자,164,48,적당함,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,S,S0
28,0,레이어드 슬리브리스 탑_일반 기장 [화이트],남자,160,65,큼,//image.msscdn.net/images/goods_img/20210825/2086660/2086660_1_500.jpg,L,L0
